Age,Salary,Experience,Study_Hours,Score,Class_Label
39,190515,1,7.05,69.15,Medium
47,119259,6,1.87,23.87,Low
34,59063,15,6.16,79.12,High
43,134225,2,2.14,24.72,Low
53,136400,12,9.29,100.0,High
18,100818,2,1.15,18.15,Low
25,24703,17,4.59,73.81,Medium
52,92099,10,7.11,81.46,High
32,176921,7,4.85,59.54,Medium
39,182932,5,1.37,19.11,Low
31,51585,0,5.76,52.64,Medium
43,173087,0,6.6,69.45,Medium
45,63585,7,7.19,81.79,High
40,46958,4,4.05,44.46,Low
31,46017,15,5.85,76.72,High
41,144677,10,4.78,57.66,Medium
19,196422,4,6.88,84.74,High
43,163273,3,6.04,66.57,Medium
31,49426,5,5.49,56.94,Medium
24,37778,13,2.87,49.64,Low
20,196313,18,0.52,37.51,Low
40,62229,8,2.15,34.34,Low
35,106652,11,1.61,39.47,Low
55,148267,10,4.77,54.99,Medium
52,199436,13,6.32,72.74,Medium
32,146503,15,2.52,49.0,Low
42,104878,0,9.42,95.58,High
54,77056,12,0.56,6.9,Low
45,178562,20,7.84,100.0,High
27,39975,20,6.44,89.36,High
56,177795,12,4.05,51.54,Medium
34,174351,1,0.98,6.24,Low
56,162633,3,6.46,72.08,Medium
39,108397,5,4.16,44.01,Low
43,53142,4,9.39,94.98,High
42,46916,2,5.65,51.41,Medium
34,84324,0,9.43,100.0,High
30,196037,3,2.59,32.57,Low
37,145932,19,7.39,89.94,High
42,155720,1,6.36,60.19,Medium
21,186205,4,7.52,83.84,High
27,116059,2,2.54,34.81,Low
20,118317,8,6.82,84.4,High
58,55046,19,5.23,79.02,High
35,198136,5,7.56,73.44,Medium
53,121459,17,3.61,65.95,Medium
39,65893,5,8.96,95.62,High
51,121520,18,1.3,40.34,Low
25,145818,11,8.17,97.31,High
57,81272,10,8.68,95.02,High
36,87649,1,8.26,85.92,High
59,84674,14,5.37,75.83,High
58,164832,11,4.66,60.97,Medium
54,172999,11,9.96,100.0,High
23,106475,8,2.68,31.93,Low
43,81367,20,5.7,85.65,High
51,163660,1,6.87,70.33,Medium
23,141750,2,7.16,65.93,Medium
54,138154,11,2.44,40.61,Low
50,64738,15,6.71,93.27,High
39,53397,20,8.27,100.0,High
38,102189,0,0.98,9.63,Low
23,96367,20,9.16,100.0,High
23,140585,2,0.78,8.86,Low
21,96619,19,3.88,65.81,Medium
47,131453,1,0.65,2.12,Low
28,39816,8,1.23,24.23,Low
47,193312,18,9.16,100.0,High
48,157348,14,3.87,62.2,Medium
41,99530,17,4.54,73.72,Medium
26,174571,10,2.55,44.46,Low
20,128856,15,6.17,81.66,High
48,91635,16,6.15,74.62,Medium
57,127803,4,4.04,50.11,Medium
54,55946,11,3.66,55.26,Medium
53,75204,10,8.91,100.0,High
41,35563,14,4.14,65.17,Medium
48,112324,2,5.19,47.66,Low
23,29847,0,3.19,37.05,Low
19,46155,19,7.97,100.0,High
37,99671,15,4.28,61.16,Medium
45,136891,1,5.38,52.19,Medium
28,103310,1,2.91,29.44,Low
21,169381,2,9.88,100.0,High
32,151691,7,3.27,43.44,Low
23,54707,14,7.82,97.05,High
47,171409,6,4.56,55.6,Medium
55,101537,5,2.46,32.14,Low
19,198686,8,8.1,89.76,High
32,111155,19,3.67,61.21,Medium
28,20281,0,8.72,90.24,High
25,178492,7,9.19,100.0,High
43,190102,2,8.67,89.99,High
22,152130,3,0.83,17.42,Low
23,96260,14,7.98,90.99,High
43,179476,5,4.41,48.78,Low
21,180928,14,8.8,100.0,High
36,160272,20,6.56,100.0,High
37,84178,2,8.42,90.77,High
50,53997,20,5.24,82.0,High
37,176683,20,5.58,89.72,High
29,139273,13,1.87,43.78,Low
18,192307,19,7.95,100.0,High
43,186129,13,4.48,68.91,Medium
31,152311,3,5.25,55.69,Medium
55,146945,11,7.96,93.59,High
54,65272,16,6.19,81.09,High
28,109393,6,2.41,35.61,Low
53,81212,8,6.11,72.31,Medium
30,166470,2,4.37,44.61,Low
20,140030,12,4.96,65.25,Medium
50,76503,14,0.77,35.95,Low
23,157710,17,2.5,55.26,Medium
27,26570,18,3.17,67.85,Medium
22,88785,0,7.27,75.35,High
40,29110,5,0.61,13.88,Low
27,99141,1,4.38,45.17,Low
19,32115,13,9.28,100.0,High
30,59062,5,1.56,16.79,Low
57,42911,13,5.41,76.14,High
19,124061,3,7.97,79.53,High
37,52556,20,9.45,100.0,High
18,148335,7,7.59,91.98,High
54,21969,2,7.35,73.17,Medium
26,63753,18,8.35,100.0,High
34,155542,13,4.74,61.95,Medium
26,141863,19,8.16,100.0,High
28,30225,16,0.58,31.92,Low
32,143008,7,9.28,100.0,High
41,174268,13,4.71,61.02,Medium
55,125823,5,5.76,76.64,High
52,33669,15,2.92,50.81,Medium
47,188452,18,7.55,100.0,High
48,144398,13,1.23,39.02,Low
22,130677,18,8.79,100.0,High
31,68320,2,8.37,90.83,High
28,198486,9,2.55,35.14,Low
26,166649,18,8.19,100.0,High
51,145354,8,7.97,87.9,High
29,108009,19,6.51,93.79,High
52,48625,12,4.05,60.03,Medium
52,44089,6,3.08,43.72,Low
18,56487,13,2.7,56.34,Medium
57,130448,8,3.53,45.04,Low
39,70138,18,9.08,100.0,High
46,193895,14,1.24,43.25,Low
25,188280,19,8.37,100.0,High
28,74061,13,3.81,54.85,Medium
58,181731,5,5.46,53.45,Medium
54,121376,20,8.05,100.0,High
31,182962,3,8.9,92.28,High
47,99134,7,3.78,43.29,Low
52,67055,16,4.89,66.11,Medium
38,39508,8,4.44,51.38,Medium
54,193359,0,0.63,10.9,Low
22,178056,19,3.31,66.89,Medium
36,130169,13,4.86,71.36,Medium
31,28125,10,4.41,59.76,Medium
43,56059,20,7.36,97.37,High
21,123409,2,4.16,40.95,Low
42,168159,8,5.15,57.97,Medium
59,25704,13,4.58,68.16,Medium
42,131279,8,7.54,82.08,High
35,178280,3,8.7,87.93,High
57,138516,3,5.55,59.08,Medium
25,190954,7,8.0,82.15,High
56,176995,1,3.32,34.93,Low
57,134044,8,5.64,67.86,Medium
31,49165,13,3.78,63.22,Medium
49,87203,8,4.43,52.2,Medium
55,24114,15,7.46,90.6,High
50,56321,16,8.88,100.0,High
40,93297,15,1.65,33.51,Low
32,116652,11,6.53,82.0,High
50,119304,2,6.03,54.0,Medium
42,176498,10,1.62,28.17,Low
34,37772,13,2.51,39.96,Low
50,123754,17,3.45,62.84,Medium
19,23712,20,2.09,46.85,Low
31,152439,20,2.82,49.52,Low
57,135142,4,3.04,35.39,Low
57,111736,15,3.69,61.0,Medium
56,71924,19,7.62,100.0,High
23,23726,4,5.93,62.24,Medium
23,109152,2,9.87,98.34,High
20,47723,11,4.44,61.46,Medium
24,146969,0,7.66,72.15,Medium
25,120494,20,8.78,100.0,High
59,160180,8,6.95,85.25,High
32,55643,8,4.41,49.59,Low
46,182396,3,7.66,80.88,High
50,123896,2,2.43,18.36,Low
47,159999,16,3.61,61.24,Medium
56,113680,1,5.69,53.51,Medium
44,116546,0,5.97,64.8,Medium
53,173515,7,0.71,10.22,Low
46,99973,12,9.48,100.0,High
55,83449,14,7.12,98.31,High
50,129834,7,5.21,57.45,Medium
54,45537,11,9.36,100.0,High
44,97576,11,4.67,58.48,Medium
50,127522,13,9.81,100.0,High
21,42612,14,5.37,77.29,High
39,26471,14,1.59,34.06,Low
19,186703,8,7.77,84.1,High
27,51348,18,6.95,86.41,High
22,21177,19,7.84,100.0,High
27,155832,7,9.54,100.0,High
50,52779,20,7.88,100.0,High
55,41636,18,6.31,86.05,High
30,101889,5,8.64,97.64,High
48,73551,19,6.9,100.0,High
53,162628,18,4.38,69.53,Medium
41,178670,3,8.91,93.81,High
32,162635,6,2.61,41.26,Low
46,66819,3,7.29,69.2,Medium
25,93770,11,8.87,100.0,High
22,178038,12,7.45,90.95,High
